id,universidad,carrera,area_academica,modalidad,semestres,fecha_oferta,ciudad
74,Colegio De Bachilleres,ingenieria civil,tecnologia,presencial,8,2024-09-02,Lachixio
75,Uabjo,ingenieria en sistemas computacionales,derecho,presencial,8,2024-04-10,oaxaca capital
76,Conalep,lic. en derecho,ciencias sociales,presencial,8,2024-05-15,Ixtlan
77,Colegio De Bachilleres,administracion de empresas,economia,semi presencial,8,2024-01-20,Pochutla
78,Tecnologica Del Valle,lic. en turismo,educacion,presencial,6,2024-01-12,Etla
79,Ujat,administracion de empresas,ingenieria,presencial,6,2024-10-29,Lachixio
80,Instituto Tecnologico,lic. en comunicacion,derecho,virtual,8,2024-02-29,Huajuapan
81,Cecyte,lic en enfermeria,ingenieria,semi presencial,6,2024-05-03,oaxaca capital
82,Uabjo,ingenieria en sistemas computacionales,economia,semi presencial,10,2024-08-14,Salina Cruz
83,Colegio De Bachilleres,diseño grafico,artes,virtual,6,2024-08-28,Xoxocotlan
84,Escuela Normal,lic. en comunicacion,artes,virtual,8,2024-08-27,Etla
85,Escuela Normal,tec. en electronica,salud,semi presencial,10,2024-07-26,Tlacolula
86,Tebacsso,lic. en psicologia,humanidades,presencial,6,2024-04-22,Xoxocotlan
87,Escuela Normal,lic en enfermeria,educacion,virtual,10,2024-01-20,Tlacolula
88,Univers. Autonoma,tec. en electronica,administracion,semi presencial,8,2024-06-01,Huajuapan
89,Ies Oaxaca,lic. en economia,salud,virtual,6,2024-04-25,Ixtlan
90,Ujat,tec. en electronica,economia,presencial,8,2024-05-11,Pochutla
91,Conalep,lic. en economia,salud,presencial,10,2024-12-04,juarez
92,Univers. Autonoma,ingenieria civil,economia,presencial,10,2024-12-07,Lachixio
93,Centro De Estudios,administracion de empresas,salud,virtual,10,2024-11-18,juarez
94,Instituto Tecnologico,ingenieria en sistemas computacionales,humanidades,presencial,6,2024-06-26,Lachixio
95,Conalep,ingenieria civil,ciencias sociales,virtual,6,2024-09-26,oaxaca capital
96,Instituto Tecnologico,tec. en informatica,tecnologia,presencial,8,2024-06-23,Xoxocotlan
97,Tecnologica Del Valle,lic. en comunicacion,ingenieria,presencial,6,2024-02-03,Ixtlan
98,Escuela Normal,lic. en biologia,humanidades,semi presencial,6,2024-07-31,Lachixio
99,Ujat,lic. en derecho,tecnologia,presencial,6,2024-02-27,Etla
100,Ies Oaxaca,ingenieria en sistemas computacionales,salud,semi presencial,8,2024-12-19,Salina Cruz
101,Uabjo,contabilidad,economia,semi presencial,6,2024-12-05,oaxaca capital
102,Instituto Superior,tec. en electronica,educacion,semi presencial,6,2024-12-29,Tlacolula
103,Univers. Autonoma,administracion de empresas,salud,semi presencial,8,2024-01-24,Xoxocotlan
104,Tecnologica Del Valle,ingenieria en sistemas computacionales,economia,semi presencial,8,2024-09-10,Etla
105,Colegio De Bachilleres,lic. en economia,tecnologia,semi presencial,8,2024-09-25,Tlacolula
106,Escuela Normal,diseño grafico,ciencias sociales,presencial,8,2024-06-27,Ixtlan
107,Ies Oaxaca,lic. en educacion,ciencias sociales,virtual,6,2024-01-02,oaxaca capital
108,Cecyte,tec en mecanica,artes,semi presencial,6,2024-01-21,Huajuapan
109,Conalep,tec en mecanica,ciencias sociales,virtual,8,2024-07-08,Salina Cruz
110,Tebacsso,tec. en electronica,administracion,presencial,8,2024-08-29,Etla
111,Escuela Normal,lic. en biologia,salud,presencial,8,2024-03-13,Ixtlan
112,Univers. Autonoma,ingenieria electronica,administracion,semi presencial,6,2024-04-23,Xoxocotlan
113,Univers. Autonoma,tec. en electronica,ingenieria,virtual,6,2024-12-24,Tlacolula
114,Uabjo,lic en enfermeria,salud,presencial,6,2024-01-12,Xoxocotlan
115,Tebacsso,lic. en biologia,humanidades,semi presencial,8,2024-07-22,Etla
116,Tecnologica Del Valle,tec. en electronica,tecnologia,virtual,8,2024-12-27,Tlacolula
117,Ies Oaxaca,lic. en turismo,economia,presencial,10,2024-09-17,Huajuapan
118,Cecyte,tec. en electronica,derecho,semi presencial,8,2024-02-25,Xoxocotlan
119,Cecyte,lic. en filosofia,educacion,virtual,6,2024-12-08,Xoxocotlan
120,Colegio De Bachilleres,tec en mecanica,administracion,virtual,8,2024-10-16,juarez
121,Univers. Autonoma,ingenieria civil,educacion,presencial,8,2024-07-11,oaxaca capital
122,Tebacsso,tec en mecanica,administracion,virtual,10,2024-12-10,Lachixio
123,Colegio De Bachilleres,ingenieria en sistemas computacionales,educacion,semi presencial,10,2024-07-17,Salina Cruz
124,Instituto Superior,lic. en filosofia,tecnologia,presencial,6,2024-11-07,Lachixio
125,Instituto Superior,lic. en economia,ingenieria,presencial,10,2024-07-03,Huajuapan
126,Conalep,lic. en biologia,ciencias sociales,presencial,6,2024-01-31,Lachixio
127,Centro De Estudios,lic. en economia,humanidades,virtual,10,2024-05-29,Xoxocotlan
128,Uabjo,lic. en comunicacion,administracion,virtual,8,2024-01-12,Xoxocotlan
129,Univers. Autonoma,lic en enfermeria,ciencias sociales,virtual,8,2024-07-01,Xoxocotlan
130,Cecyte,lic. en filosofia,educacion,semi presencial,6,2024-07-04,Ixtlan
131,Instituto Tecnologico,ingenieria en sistemas computacionales,educacion,semi presencial,10,2024-10-07,Pochutla
132,Tebacsso,contabilidad,derecho,presencial,10,2024-05-16,Lachixio
133,Uabjo,lic. en filosofia,ciencias sociales,presencial,8,2024-02-09,Etla
134,Ujat,lic. en filosofia,artes,presencial,10,2024-03-26,Pochutla
135,Tebacsso,tec. en electronica,tecnologia,semi presencial,6,2024-08-22,Huajuapan
136,Centro De Estudios,diseño grafico,derecho,semi presencial,6,2024-02-06,Salina Cruz
137,Tecnologica Del Valle,lic. en psicologia,artes,semi presencial,10,2024-10-30,Etla
138,Univers. Autonoma,lic. en educacion,administracion,virtual,8,2024-11-10,Tlacolula
139,Centro De Estudios,ingenieria electronica,educacion,presencial,6,2024-12-08,Pochutla
140,Uabjo,lic. en turismo,economia,presencial,6,2024-03-30,Xoxocotlan
141,Conalep,ingenieria electronica,salud,semi presencial,8,2024-12-12,oaxaca capital
142,Ujat,lic. en derecho,artes,semi presencial,10,2024-11-11,Etla
143,Centro De Estudios,lic. en derecho,salud,semi presencial,6,2024-02-27,Huajuapan
144,Uabjo,lic. en filosofia,salud,virtual,8,2024-05-11,Huajuapan
145,Ies Oaxaca,lic. en educacion,educacion,presencial,8,2024-03-27,Xoxocotlan
146,Cecyte,lic. en derecho,derecho,virtual,8,2024-10-18,Tlacolula
147,Uabjo,tec en mecanica,administracion,virtual,8,2024-02-05,Tlacolula
148,Cecyte,lic. en psicologia,economia,presencial,8,2024-04-28,Tlacolula
149,Tebacsso,lic. en derecho,ingenieria,semi presencial,6,2024-02-04,juarez
150,Cecyte,tec en mecanica,ingenieria,semi presencial,10,2024-02-05,Etla
151,Instituto Superior,lic. en filosofia,salud,virtual,6,2024-05-06,Lachixio
152,Univers. Autonoma,lic. en economia,artes,virtual,6,2024-08-01,Huajuapan
153,Escuela Normal,ingenieria en sistemas computacionales,humanidades,virtual,10,2024-06-24,Tlacolula
154,Tecnologica Del Valle,tec. en electronica,salud,semi presencial,8,2024-05-30,Etla
155,Cecyte,lic. en filosofia,ingenieria,semi presencial,6,2024-06-06,Tlacolula
156,Colegio De Bachilleres,lic. en educacion,ciencias sociales,virtual,10,2024-08-17,juarez
157,Univers. Autonoma,lic. en biologia,derecho,presencial,6,2024-10-30,Tlacolula
158,Ujat,ingenieria electronica,ingenieria,presencial,10,2024-12-29,Xoxocotlan
159,Tebacsso,ingenieria en sistemas computacionales,tecnologia,virtual,8,2024-11-25,Salina Cruz
160,Instituto Tecnologico,administracion de empresas,humanidades,virtual,8,2024-07-28,Etla
161,Instituto Superior,lic. en filosofia,educacion,semi presencial,10,2024-09-12,oaxaca capital
162,Ies Oaxaca,lic. en filosofia,administracion,semi presencial,8,2024-08-20,Xoxocotlan
163,Centro De Estudios,contabilidad,ciencias sociales,semi presencial,6,2024-08-28,Lachixio
164,Conalep,lic. en derecho,artes,presencial,10,2024-05-12,juarez
165,Cecyte,tec. en informatica,artes,presencial,10,2024-10-21,Etla
166,Colegio De Bachilleres,lic. en turismo,artes,presencial,8,2024-10-06,juarez
167,Ies Oaxaca,administracion de empresas,derecho,virtual,8,2024-03-05,Salina Cruz
168,Ies Oaxaca,ingenieria civil,salud,semi presencial,6,2024-11-28,Ixtlan
169,Escuela Normal,ingenieria en sistemas computacionales,tecnologia,semi presencial,10,2024-06-16,Etla
170,Tecnologica Del Valle,lic. en biologia,economia,semi presencial,6,2024-12-16,Etla
171,Univers. Autonoma,lic. en biologia,tecnologia,presencial,10,2024-06-05,Xoxocotlan
172,Conalep,tec en mecanica,educacion,virtual,10,2024-01-26,Etla
173,Instituto Superior,administracion de empresas,derecho,semi presencial,10,2024-09-02,Pochutla
174,Conalep,contabilidad,ingenieria,virtual,10,2024-04-06,Pochutla
175,Instituto Tecnologico,lic en enfermeria,humanidades,semi presencial,6,2024-09-17,Etla
176,Conalep,lic. en comunicacion,ingenieria,semi presencial,10,2024-11-30,Etla
177,Uabjo,contabilidad,administracion,presencial,10,2024-05-11,Lachixio
178,Escuela Normal,tec. en informatica,administracion,virtual,8,2024-06-28,Xoxocotlan
179,Escuela Normal,tec. en electronica,ingenieria,semi presencial,8,2024-04-30,Lachixio
180,Tebacsso,tec. en informatica,administracion,virtual,10,2024-08-29,Lachixio
181,Uabjo,lic. en filosofia,educacion,presencial,10,2024-04-06,Xoxocotlan
182,Ujat,tec. en electronica,economia,semi presencial,6,2024-12-14,Huajuapan
183,Escuela Normal,tec. en electronica,economia,presencial,6,2024-04-29,Pochutla
184,Tebacsso,lic. en filosofia,derecho,semi presencial,6,2024-02-09,Huajuapan
185,Univers. Autonoma,contabilidad,administracion,presencial,6,2024-04-17,Salina Cruz
186,Cecyte,contabilidad,ciencias sociales,virtual,6,2024-10-20,Xoxocotlan
187,Centro De Estudios,lic. en economia,humanidades,virtual,6,2024-10-16,Pochutla
188,Instituto Tecnologico,ingenieria en sistemas computacionales,ingenieria,virtual,6,2024-07-02,Huajuapan
189,Escuela Normal,administracion de empresas,ciencias sociales,semi presencial,10,2024-03-24,Ixtlan
190,Tecnologica Del Valle,tec. en informatica,ciencias sociales,semi presencial,8,2024-01-15,Xoxocotlan
191,Univers. Autonoma,lic. en psicologia,ciencias sociales,semi presencial,8,2024-08-27,oaxaca capital
192,Ies Oaxaca,ingenieria civil,ingenieria,semi presencial,8,2024-05-30,Xoxocotlan
193,Tebacsso,lic. en biologia,educacion,semi presencial,10,2024-05-28,Huajuapan
194,Escuela Normal,administracion de empresas,artes,virtual,10,2024-03-20,juarez
195,Conalep,tec. en electronica,ciencias sociales,presencial,6,2024-08-26,Tlacolula
196,Ies Oaxaca,lic. en comunicacion,economia,presencial,6,2024-02-02,oaxaca capital
197,Ies Oaxaca,tec. en informatica,salud,presencial,6,2024-01-05,Etla
198,Univers. Autonoma,lic. en biologia,administracion,virtual,10,2024-06-30,Etla
199,Tecnologica Del Valle,lic. en economia,economia,virtual,10,2024-07-02,Salina Cruz
200,Conalep,ingenieria civil,salud,semi presencial,10,2024-07-24,Xoxocotlan
201,Conalep,lic en enfermeria,economia,semi presencial,8,2024-09-06,Huajuapan
202,Univers. Autonoma,lic. en economia,ciencias sociales,semi presencial,10,2024-05-16,Huajuapan
203,Ujat,administracion de empresas,ingenieria,semi presencial,8,2024-05-17,Huajuapan
204,Instituto Tecnologico,contabilidad,ciencias sociales,presencial,8,2024-03-31,juarez
205,Centro De Estudios,lic. en filosofia,educacion,semi presencial,8,2024-02-15,Xoxocotlan
206,Uabjo,lic. en comunicacion,tecnologia,virtual,10,2024-12-23,juarez
207,Cecyte,contabilidad,economia,presencial,8,2024-01-22,Huajuapan
208,Uabjo,tec. en electronica,educacion,semi presencial,10,2024-12-17,Tlacolula
209,Univers. Autonoma,lic. en comunicacion,administracion,virtual,10,2024-05-22,Ixtlan
210,Instituto Tecnologico,lic en enfermeria,derecho,semi presencial,8,2024-07-10,Salina Cruz
211,Uabjo,ingenieria civil,humanidades,virtual,8,2024-01-13,Lachixio
212,Ies Oaxaca,lic en enfermeria,tecnologia,presencial,8,2024-11-25,Salina Cruz
213,Centro De Estudios,lic. en comunicacion,artes,presencial,8,2024-05-08,Xoxocotlan
214,Cecyte,lic. en comunicacion,educacion,virtual,6,2024-11-27,Etla
215,Tecnologica Del Valle,lic. en turismo,derecho,virtual,10,2024-11-30,Etla
216,Uabjo,tec. en electronica,derecho,virtual,8,2024-02-27,Xoxocotlan
217,Conalep,contabilidad,ciencias sociales,semi presencial,8,2024-08-09,juarez
218,Instituto Superior,lic. en filosofia,salud,virtual,10,2024-03-20,Xoxocotlan
219,Instituto Tecnologico,lic. en derecho,administracion,semi presencial,6,2024-04-30,Tlacolula
220,Uabjo,lic. en comunicacion,ciencias sociales,semi presencial,6,2024-04-10,Lachixio
221,Tebacsso,ingenieria civil,salud,presencial,8,2024-02-21,Huajuapan
222,Uabjo,lic. en economia,humanidades,virtual,8,2024-08-20,Etla
223,Escuela Normal,ingenieria en sistemas computacionales,salud,semi presencial,10,2024-04-05,Ixtlan
224,Cecyte,administracion de empresas,administracion,presencial,8,2024-09-09,Pochutla
225,Centro De Estudios,lic. en turismo,salud,presencial,8,2024-07-13,oaxaca capital
226,Centro De Estudios,lic. en psicologia,derecho,presencial,10,2024-08-07,Salina Cruz
227,Conalep,tec en mecanica,economia,presencial,10,2024-12-01,Huajuapan
228,Conalep,contabilidad,ciencias sociales,presencial,10,2024-12-26,Etla
229,Ies Oaxaca,lic. en comunicacion,salud,presencial,8,2024-04-07,Tlacolula
230,Ies Oaxaca,tec en mecanica,ciencias sociales,presencial,6,2024-04-26,Salina Cruz
231,Ies Oaxaca,contabilidad,ciencias sociales,semi presencial,8,2024-04-23,Huajuapan
232,Tebacsso,diseño grafico,tecnologia,semi presencial,6,2024-04-23,Lachixio
233,Instituto Superior,lic. en educacion,ciencias sociales,virtual,10,2024-03-04,Etla
234,Tebacsso,lic. en turismo,ciencias sociales,presencial,10,2024-06-23,Pochutla
235,Univers. Autonoma,administracion de empresas,derecho,presencial,6,2024-10-18,Huajuapan
236,Cecyte,administracion de empresas,economia,virtual,6,2024-02-07,Salina Cruz
237,Uabjo,diseño grafico,tecnologia,semi presencial,6,2024-07-25,Huajuapan
238,Escuela Normal,ingenieria civil,tecnologia,virtual,6,2024-03-24,Ixtlan
239,Univers. Autonoma,diseño grafico,administracion,presencial,8,2024-04-12,juarez
240,Univers. Autonoma,ingenieria civil,artes,virtual,6,2024-06-04,oaxaca capital
241,Cecyte,lic. en psicologia,ciencias sociales,semi presencial,8,2024-06-03,Salina Cruz
242,Ies Oaxaca,diseño grafico,tecnologia,virtual,8,2024-05-01,juarez
243,Cecyte,tec. en informatica,ingenieria,semi presencial,10,2024-07-29,Lachixio
244,Instituto Tecnologico,lic en enfermeria,economia,semi presencial,6,2024-03-17,Ixtlan
245,Univers. Autonoma,tec en mecanica,derecho,presencial,6,2024-11-04,Tlacolula
246,Tebacsso,tec en mecanica,salud,virtual,6,2024-04-10,oaxaca capital
247,Uabjo,lic. en educacion,economia,virtual,8,2024-01-10,Ixtlan
248,Conalep,lic. en psicologia,educacion,semi presencial,8,2024-09-12,Xoxocotlan
249,Uabjo,lic. en turismo,educacion,semi presencial,10,2024-04-02,Tlacolula
250,Uabjo,diseño grafico,artes,virtual,10,2024-01-26,Tlacolula
251,Cecyte,tec en mecanica,artes,virtual,6,2024-04-04,Salina Cruz
252,Tecnologica Del Valle,ingenieria electronica,educacion,presencial,6,2024-04-07,oaxaca capital
253,Univers. Autonoma,lic. en economia,ciencias sociales,semi presencial,8,2024-06-10,juarez
254,Ujat,ingenieria en sistemas computacionales,educacion,virtual,10,2024-04-24,Etla
255,Instituto Superior,lic. en biologia,derecho,semi presencial,6,2024-11-14,Ixtlan
256,Tebacsso,tec en mecanica,educacion,virtual,10,2024-12-16,Pochutla
257,Escuela Normal,diseño grafico,salud,presencial,10,2024-11-01,Pochutla
258,Centro De Estudios,lic. en filosofia,educacion,semi presencial,10,2024-02-08,Salina Cruz
259,Uabjo,ingenieria civil,administracion,virtual,6,2024-01-28,Etla
260,Conalep,lic. en biologia,educacion,presencial,10,2024-08-12,Etla
261,Cecyte,lic. en turismo,administracion,virtual,10,2024-05-18,Ixtlan
262,Escuela Normal,tec. en informatica,tecnologia,presencial,10,2024-05-16,Pochutla
263,Colegio De Bachilleres,lic. en derecho,tecnologia,presencial,8,2024-08-23,Huajuapan
264,Centro De Estudios,tec. en electronica,humanidades,virtual,6,2024-11-09,Tlacolula
265,Tebacsso,lic. en economia,humanidades,semi presencial,10,2024-11-30,Salina Cruz
266,Tebacsso,lic. en psicologia,salud,semi presencial,8,2024-01-24,Salina Cruz
267,Instituto Tecnologico,lic. en economia,ingenieria,presencial,8,2024-06-14,Huajuapan
268,Tebacsso,lic. en psicologia,educacion,virtual,8,2024-09-21,Salina Cruz
269,Conalep,lic. en educacion,ciencias sociales,virtual,6,2024-01-30,Ixtlan
270,Univers. Autonoma,lic. en biologia,ingenieria,semi presencial,8,2024-08-02,Salina Cruz
271,Univers. Autonoma,diseño grafico,ciencias sociales,presencial,8,2024-01-23,oaxaca capital
272,Conalep,lic. en biologia,artes,semi presencial,10,2024-02-16,Salina Cruz
273,Ies Oaxaca,tec. en electronica,tecnologia,presencial,6,2024-01-11,juarez
274,Univers. Autonoma,lic. en turismo,economia,presencial,8,2024-08-31,Tlacolula
275,Escuela Normal,lic. en biologia,economia,semi presencial,8,2024-09-08,Huajuapan
276,Cecyte,tec. en electronica,administracion,virtual,10,2024-02-25,Salina Cruz
277,Ujat,tec en mecanica,artes,virtual,6,2024-04-18,Xoxocotlan
278,Conalep,lic. en comunicacion,administracion,presencial,6,2024-02-27,oaxaca capital
279,Tecnologica Del Valle,ingenieria civil,salud,presencial,10,2024-06-09,juarez
280,Escuela Normal,lic. en derecho,derecho,semi presencial,8,2024-08-12,Ixtlan
281,Ujat,lic. en educacion,tecnologia,presencial,6,2024-05-07,Ixtlan
282,Uabjo,diseño grafico,humanidades,semi presencial,6,2024-02-28,Tlacolula
283,Univers. Autonoma,lic en enfermeria,salud,virtual,10,2024-06-23,Ixtlan
284,Instituto Tecnologico,lic. en psicologia,administracion,virtual,8,2024-10-21,Lachixio
285,Ujat,lic en enfermeria,administracion,virtual,10,2024-08-12,Salina Cruz
286,Escuela Normal,contabilidad,tecnologia,semi presencial,8,2024-05-18,oaxaca capital
287,Escuela Normal,administracion de empresas,salud,virtual,10,2024-12-05,Salina Cruz
288,Instituto Tecnologico,ingenieria electronica,derecho,semi presencial,8,2024-06-30,Etla
289,Univers. Autonoma,administracion de empresas,administracion,virtual,10,2024-09-07,Ixtlan
290,Instituto Superior,tec. en informatica,salud,presencial,6,2024-01-23,Salina Cruz
291,Conalep,ingenieria civil,educacion,semi presencial,6,2024-04-24,Xoxocotlan
292,Tecnologica Del Valle,ingenieria en sistemas computacionales,economia,virtual,10,2024-08-14,Huajuapan
293,Tebacsso,lic. en comunicacion,tecnologia,presencial,6,2024-04-27,Xoxocotlan
294,Ies Oaxaca,lic. en derecho,educacion,virtual,8,2024-06-24,Ixtlan
295,Colegio De Bachilleres,lic. en derecho,artes,virtual,8,2024-02-01,oaxaca capital
296,Uabjo,lic. en turismo,ciencias sociales,presencial,10,2024-06-07,Salina Cruz
297,Tebacsso,ingenieria civil,educacion,presencial,8,2024-11-02,juarez
298,Uabjo,tec en mecanica,humanidades,semi presencial,10,2024-10-27,Tlacolula
299,Colegio De Bachilleres,ingenieria electronica,ciencias sociales,semi presencial,10,2024-07-13,oaxaca capital
300,Escuela Normal,lic. en economia,ingenieria,virtual,10,2024-12-15,Pochutla
301,Tebacsso,ingenieria electronica,ingenieria,virtual,6,2024-05-19,Pochutla
302,Conalep,lic. en psicologia,ciencias sociales,semi presencial,8,2024-12-08,Pochutla
303,Centro De Estudios,lic. en economia,salud,virtual,10,2024-02-25,Pochutla
304,Cecyte,tec. en informatica,artes,semi presencial,6,2024-08-01,Etla
305,Centro De Estudios,lic. en comunicacion,humanidades,presencial,8,2024-06-17,Salina Cruz
306,Conalep,lic. en educacion,economia,presencial,8,2024-07-25,Lachixio
307,Instituto Tecnologico,lic. en biologia,tecnologia,virtual,10,2024-10-10,Ixtlan
308,Colegio De Bachilleres,lic. en derecho,derecho,virtual,10,2024-09-29,Salina Cruz
309,Centro De Estudios,ingenieria electronica,tecnologia,virtual,6,2024-05-24,Tlacolula
310,Escuela Normal,tec. en electronica,salud,presencial,10,2024-01-15,Huajuapan
311,Ujat,tec. en electronica,economia,semi presencial,6,2024-07-21,juarez
312,Tebacsso,tec en mecanica,ciencias sociales,semi presencial,6,2024-05-31,Ixtlan
313,Tebacsso,tec. en informatica,ingenieria,presencial,6,2024-11-04,Etla
314,Centro De Estudios,lic. en comunicacion,tecnologia,presencial,10,2024-09-23,Lachixio
315,Conalep,lic. en economia,ingenieria,virtual,8,2024-03-05,Ixtlan
316,Cecyte,lic. en comunicacion,salud,virtual,8,2024-09-23,juarez
317,Colegio De Bachilleres,contabilidad,administracion,virtual,8,2024-05-11,Salina Cruz
