id,profesion,tasa_ocupacion,nivel_educativo,fecha_registro,municipio
57,plomero,56.1,licenciatura completa,2024-10-20,Etla
58,técnico en electrónica,80.1,maestria,2024-11-07,Xoxocotlan
59,consultor,87.1,prof.univ.,2024-10-24,Macuiltianguis
60,soldador,77.7,tecnico,2024-01-04,Huatulco
61,dentista,83.1,licenciatura completa,2024-03-13,Huatulco
62,auditor,48.6,primaria,2024-03-30,Salina Cruz
63,conductor,68.6,especialidad,2024-07-20,San Juan
64,electricista,46.8,maestria,2024-04-17,Pochutla
65,asistente administrativo,51.4,maestria,2024-04-04,Santiago
66,mecanico,67.5,primaria,2024-10-06,Santa Catarina
67,camarero,55.9,lic.incompleta,2024-05-04,Xoxocotlan
68,transportista,66.6,doctorado,2024-09-24,Puerto Escondido
69,economista,71.6,tecnico,2024-02-18,Puerto Escondido
70,mecanico,73.4,primaria,2024-03-20,Tututepec
71,guardia de seguridad,40.3,especialidad,2024-01-06,Lachixio
72,técnico en telecomunicaciones,44.1,tecnico,2024-06-05,San Juan
73,investigador,50.4,primaria,2024-03-22,Puerto Escondido
74,técnico en telecomunicaciones,51.1,licenciatura completa,2024-04-20,Huajuapan
75,técnico en telecomunicaciones,67.6,tecnico,2024-01-14,Tlacolula
76,técnico en telecomunicaciones,55.4,licenciatura completa,2024-12-22,San Pablo Etla
77,técnico en electrónica,65.4,especialidad,2024-11-14,Ocotlan
78,jardinero,45.4,licenciatura completa,2024-07-14,Huajuapan
79,transportista,92.0,secundaria,2024-12-28,Puerto Escondido
80,chef,48.0,primaria,2024-02-29,Lachixio
81,analista,77.8,maestria,2024-06-09,Huajuapan
82,programador,40.7,tecnico,2024-12-02,Tututepec
83,coordinador,87.5,prof.univ.,2024-04-18,San Pablo Etla
84,enfermero,86.1,licenciatura completa,2024-08-24,Tlacolula
85,profesor,53.1,especialidad,2024-02-18,Ocotlan
86,dentista,83.4,tecnico,2024-07-02,Ocotlan
87,vendedor,40.9,secundaria,2024-11-16,Etla
88,vendedor,44.0,secundaria,2024-04-11,oaxaca capital
89,asistente administrativo,65.8,secundaria,2024-01-27,oaxaca capital
90,investigador,67.9,prof.univ.,2024-07-20,San Juan
91,auditor,82.7,tecnico,2024-10-31,Santa Catarina
92,contador,58.6,doctorado,2024-03-16,Santiago
93,transportista,48.1,primaria,2024-08-18,Santa Catarina
94,arquitecto,80.4,secundaria,2024-11-13,Pochutla
95,docente,53.3,doctorado,2024-04-29,Macuiltianguis
96,técnico en electrónica,41.3,bachillerato,2024-12-03,Lachixio
97,académico,71.4,primaria,2024-05-10,Crucecita
98,consultor,76.5,maestria,2024-07-06,Ocotlan
99,diseñador grafico,49.7,tecnico,2024-01-01,Pochutla
100,plomero,72.6,bachillerato,2024-03-24,Santiago
101,supervisor,88.4,lic.incompleta,2024-09-17,San Pablo Etla
102,arquitecto,55.1,secundaria,2024-09-07,San Pablo Etla
103,chef,62.6,lic.incompleta,2024-04-26,Etla
104,enfermero,54.4,doctorado,2024-05-22,Huajuapan
105,abogado,85.4,primaria,2024-11-05,Santa Catarina
106,ejecutivo de ventas,93.1,lic.incompleta,2024-09-21,Etla
107,asistente administrativo,74.2,licenciatura completa,2024-12-24,Xoxocotlan
108,tec. en electricidad,77.1,lic.incompleta,2024-08-18,Puerto Escondido
109,guardia de seguridad,59.8,maestria,2024-12-10,Lachixio
110,capacitador,61.7,prof.univ.,2024-10-19,San Juan
111,académico,68.5,bachillerato,2024-10-16,Huajuapan
112,cocinero,63.7,primaria,2024-11-06,San Juan
113,mecanico,60.5,maestria,2024-09-28,Puerto Escondido
114,analista,84.6,prof.univ.,2024-11-22,Macuiltianguis
115,camarero,48.0,maestria,2024-04-14,Etla
116,analista,65.0,bachillerato,2024-06-10,Santa Catarina
117,capacitador,66.7,tecnico,2024-08-30,Huajuapan
118,técnico en telecomunicaciones,92.9,tecnico,2024-05-30,Etla
119,maestro de obra,78.5,prof.univ.,2024-08-25,Tlacolula
120,carpintero,90.6,especialidad,2024-08-27,Tlacolula
121,psicólogo,58.1,doctorado,2024-11-14,Huatulco
122,jardinero,41.0,lic.incompleta,2024-09-20,Santa Catarina
123,jardinero,51.0,doctorado,2024-10-15,Tlacolula
124,chef,54.1,lic.incompleta,2024-08-12,Huatulco
125,maestro de obra,47.3,lic.incompleta,2024-08-24,Macuiltianguis
126,académico,52.6,lic.incompleta,2024-10-25,juarez
127,auditor,74.4,especialidad,2024-09-18,Santa Catarina
128,consultor,55.7,tecnico,2024-10-31,Santiago
129,psicólogo,56.0,tecnico,2024-01-06,Ixtlan
130,psicólogo,89.0,prof.univ.,2024-10-13,Ixtlan
131,economista,78.2,especialidad,2024-11-16,Santiago
132,académico,93.0,bachillerato,2024-07-12,Ocotlan
133,maestro de obra,92.3,prof.univ.,2024-09-05,Salina Cruz
134,electricista,90.6,prof.univ.,2024-11-03,San Pablo Etla
135,psicólogo,43.2,maestria,2024-01-30,Lachixio
136,académico,71.2,especialidad,2024-01-03,Pochutla
137,analista,88.5,licenciatura completa,2024-01-12,oaxaca capital
138,cocinero,68.8,licenciatura completa,2024-09-21,Etla
139,plomero,60.9,prof.univ.,2024-01-28,Ixtlan
140,mecanico,58.6,lic.incompleta,2024-09-21,Santiago
141,diseñador grafico,87.3,bachillerato,2024-08-28,Salina Cruz
142,plomero,58.6,prof.univ.,2024-02-12,Santiago
143,camarero,92.8,maestria,2024-07-20,Huatulco
144,pintor,82.8,bachillerato,2024-06-05,Santa Catarina
145,vendedor,86.0,licenciatura completa,2024-04-21,Puerto Escondido
146,soldador,42.1,lic.incompleta,2024-08-31,Salina Cruz
147,diseñador grafico,59.4,bachillerato,2024-01-03,Tlacolula
148,técnico de mantenimiento,80.2,bachillerato,2024-04-06,Santiago
149,programador,79.2,licenciatura completa,2024-10-04,Tututepec
150,ejecutivo de ventas,47.0,secundaria,2024-01-29,Salina Cruz
151,ejecutivo de ventas,83.9,tecnico,2024-09-03,Santa Catarina
152,académico,81.9,lic.incompleta,2024-10-04,Macuiltianguis
153,tec. en electricidad,82.6,especialidad,2024-05-25,Ocotlan
154,técnico de mantenimiento,91.7,lic.incompleta,2024-05-16,Tlacolula
155,coordinador,54.8,lic.incompleta,2024-11-15,Puerto Escondido
156,pintor,59.0,especialidad,2024-09-24,Lachixio
157,mecanico,90.6,lic.incompleta,2024-10-25,Macuiltianguis
158,cocinero,87.1,bachillerato,2024-09-10,Puerto Escondido
159,contador,61.4,lic.incompleta,2024-11-09,Etla
160,electricista,57.5,primaria,2024-05-27,Puerto Escondido
161,mecanico,86.6,primaria,2024-12-19,Ocotlan
162,chef,40.3,doctorado,2024-04-28,Huajuapan
163,docente,44.1,especialidad,2024-10-02,Huatulco
164,vendedor,52.8,especialidad,2024-03-19,Huajuapan
165,guardia de seguridad,77.3,secundaria,2024-12-15,Xoxocotlan
166,profesor,85.6,especialidad,2024-01-04,Salina Cruz
167,gerente,70.2,bachillerato,2024-11-22,Pochutla
168,investigador,67.7,especialidad,2024-12-07,Lachixio
169,camarero,74.3,maestria,2024-12-08,Crucecita
170,jardinero,40.1,bachillerato,2024-02-07,Salina Cruz
171,chef,58.1,maestria,2024-01-13,Santa Catarina
172,técnico de mantenimiento,41.4,especialidad,2024-06-07,Ixtlan
173,técnico en electrónica,60.2,especialidad,2024-07-13,Huatulco
174,vendedor,80.4,primaria,2024-05-16,Crucecita
175,maestro de obra,77.6,especialidad,2024-06-12,Puerto Escondido
176,soldador,82.8,prof.univ.,2024-05-09,Lachixio
177,arquitecto,64.6,licenciatura completa,2024-12-07,Santa Catarina
178,guardia de seguridad,92.2,maestria,2024-09-20,Ocotlan
179,investigador,92.5,tecnico,2024-11-25,Tututepec
180,psicólogo,40.3,bachillerato,2024-01-15,Puerto Escondido
181,investigador,72.9,bachillerato,2024-12-12,Santiago
182,tec. en electricidad,84.7,licenciatura completa,2024-05-03,Santiago
183,auditor,74.5,primaria,2024-07-25,Crucecita
184,ejecutivo de ventas,45.8,doctorado,2024-08-31,Tlacolula
185,arquitecto,44.0,lic.incompleta,2024-05-03,Etla
186,soldador,82.8,bachillerato,2024-11-17,juarez
187,conductor,92.6,lic.incompleta,2024-10-07,Huajuapan
188,plomero,48.6,bachillerato,2024-10-21,juarez
189,maestro de obra,84.8,maestria,2024-03-10,Huatulco
190,chef,69.2,lic.incompleta,2024-12-16,Lachixio
191,ejecutivo de ventas,79.2,secundaria,2024-05-29,San Pablo Etla
192,coordinador,90.9,maestria,2024-04-02,Tututepec
193,electricista,78.6,tecnico,2024-08-07,Tlacolula
194,conductor,70.1,lic.incompleta,2024-07-17,Santa Catarina
195,soldador,62.6,lic.incompleta,2024-06-17,Huajuapan
196,gerente,83.7,secundaria,2024-11-08,Crucecita
197,mecanico,70.3,secundaria,2024-02-16,Tlacolula
198,soldador,94.0,doctorado,2024-03-03,Huatulco
199,pintor,92.7,especialidad,2024-09-24,Xoxocotlan
200,consultor,47.8,maestria,2024-08-02,San Pablo Etla
201,psicólogo,60.2,licenciatura completa,2024-03-29,oaxaca capital
202,abogado,47.1,prof.univ.,2024-11-16,Huatulco
203,enfermero,58.4,secundaria,2024-09-07,Ocotlan
204,supervisor,67.9,doctorado,2024-03-28,Tlacolula
205,supervisor,45.6,maestria,2024-03-13,Tututepec
206,programador,90.9,tecnico,2024-03-05,juarez
207,camarero,47.7,secundaria,2024-10-31,Ixtlan
208,jardinero,69.7,primaria,2024-08-05,San Juan
209,abogado,71.2,prof.univ.,2024-07-01,Huajuapan
210,pintor,88.1,bachillerato,2024-04-13,Huajuapan
211,profesor,41.4,lic.incompleta,2024-01-01,Ixtlan
212,tec. en electricidad,91.9,primaria,2024-08-29,San Juan
213,arquitecto,68.6,maestria,2024-03-16,Etla
214,conductor,72.3,licenciatura completa,2024-05-22,Macuiltianguis
215,ejecutivo de ventas,40.8,especialidad,2024-07-14,Tlacolula
216,técnico de mantenimiento,82.5,bachillerato,2024-09-12,Huajuapan
217,representante comercial,76.5,lic.incompleta,2024-09-05,Xoxocotlan
218,docente,86.2,licenciatura completa,2024-10-29,Tlacolula
219,arquitecto,49.9,maestria,2024-01-30,Macuiltianguis
220,contador,45.7,licenciatura completa,2024-09-22,Pochutla
221,profesor,67.2,secundaria,2024-04-30,Puerto Escondido
222,transportista,59.9,doctorado,2024-12-05,Crucecita
223,tec. en electricidad,86.1,doctorado,2024-08-13,San Juan
224,dentista,68.0,especialidad,2024-11-09,Ixtlan
225,abogado,50.6,prof.univ.,2024-05-07,oaxaca capital
226,soldador,45.5,prof.univ.,2024-04-04,oaxaca capital
227,transportista,74.3,secundaria,2024-04-25,Huajuapan
228,tec. en electricidad,91.8,prof.univ.,2024-05-11,Lachixio
229,guardia de seguridad,57.3,tecnico,2024-01-19,San Pablo Etla
230,auditor,88.4,bachillerato,2024-04-09,Macuiltianguis
231,gerente,67.5,prof.univ.,2024-08-07,Santa Catarina
232,carpintero,46.3,prof.univ.,2024-03-22,Santa Catarina
233,vendedor,82.0,primaria,2024-03-12,Crucecita
234,profesor,69.3,secundaria,2024-11-17,Santiago
235,economista,78.8,prof.univ.,2024-08-11,Ocotlan
236,cocinero,79.5,secundaria,2024-12-14,Crucecita
237,asistente administrativo,86.0,primaria,2024-09-23,Tlacolula
238,investigador,46.3,prof.univ.,2024-11-28,Tututepec
239,mecanico,70.2,primaria,2024-02-12,Huajuapan
240,ejecutivo de ventas,93.7,bachillerato,2024-08-31,Puerto Escondido
241,programador,94.9,licenciatura completa,2024-09-23,Xoxocotlan
242,técnico de mantenimiento,82.9,lic.incompleta,2024-03-03,Huajuapan
243,economista,49.7,prof.univ.,2024-03-15,Tututepec
244,técnico en electrónica,56.2,licenciatura completa,2024-09-26,Tututepec
245,diseñador grafico,43.9,tecnico,2024-01-14,San Juan
246,camarero,41.6,maestria,2024-04-18,Huajuapan
247,docente,63.4,licenciatura completa,2024-01-08,Puerto Escondido
248,arquitecto,74.8,licenciatura completa,2024-01-10,Ixtlan
249,docente,45.2,doctorado,2024-06-01,Huajuapan
250,abogado,61.5,lic.incompleta,2024-01-02,Salina Cruz
251,cocinero,69.1,tecnico,2024-09-30,San Juan
252,contador,62.0,secundaria,2024-08-24,Santiago
253,carpintero,45.8,doctorado,2024-02-22,San Pablo Etla
254,psicólogo,41.4,maestria,2024-05-19,Ixtlan
255,académico,65.3,bachillerato,2024-01-02,San Pablo Etla
256,enfermero,42.8,licenciatura completa,2024-08-09,Huatulco
257,gerente,83.6,maestria,2024-09-12,Huatulco
258,diseñador grafico,76.3,primaria,2024-12-01,Ocotlan
259,académico,59.0,lic.incompleta,2024-08-01,Macuiltianguis
260,abogado,53.1,primaria,2024-08-22,Pochutla
261,técnico en telecomunicaciones,67.8,secundaria,2024-08-21,Ocotlan
262,contador,87.1,primaria,2024-02-09,Macuiltianguis
263,capacitador,56.5,doctorado,2024-05-04,Lachixio
264,diseñador grafico,75.1,tecnico,2024-07-29,Huatulco
265,profesor,69.3,tecnico,2024-10-31,Puerto Escondido
266,ejecutivo de ventas,51.5,primaria,2024-09-01,Ocotlan
267,analista,77.0,lic.incompleta,2024-03-09,Tlacolula
268,analista,81.2,secundaria,2024-04-02,oaxaca capital
269,técnico en telecomunicaciones,49.1,maestria,2024-10-07,Ixtlan
270,representante comercial,73.3,maestria,2024-10-08,Etla
271,dentista,75.7,lic.incompleta,2024-09-24,Pochutla
272,maestro de obra,68.5,lic.incompleta,2024-04-09,Macuiltianguis
273,representante comercial,66.7,tecnico,2024-06-13,Puerto Escondido
274,capacitador,79.0,prof.univ.,2024-04-25,Xoxocotlan
275,representante comercial,67.8,primaria,2024-03-28,juarez
276,diseñador grafico,87.7,bachillerato,2024-12-08,Macuiltianguis
277,técnico en telecomunicaciones,40.4,especialidad,2024-07-15,oaxaca capital
278,chef,81.7,maestria,2024-06-25,Tlacolula
279,mecanico,90.7,doctorado,2024-11-02,Etla
280,coordinador,55.5,primaria,2024-07-09,Pochutla
281,analista,64.3,licenciatura completa,2024-01-30,Huajuapan
282,jardinero,91.1,prof.univ.,2024-06-01,oaxaca capital
283,coordinador,84.7,especialidad,2024-07-23,Crucecita
284,transportista,48.3,tecnico,2024-01-20,Tututepec
285,mecanico,66.4,maestria,2024-10-23,Huatulco
286,profesor,70.5,lic.incompleta,2024-01-05,Ocotlan
287,investigador,87.5,especialidad,2024-08-20,Tututepec
288,maestro de obra,79.0,lic.incompleta,2024-01-02,San Juan
289,plomero,88.4,lic.incompleta,2024-01-10,San Juan
290,cocinero,71.8,especialidad,2024-05-22,Xoxocotlan
291,supervisor,68.0,especialidad,2024-08-24,San Pablo Etla
292,asistente administrativo,44.6,primaria,2024-04-12,Xoxocotlan
293,contador,62.2,bachillerato,2024-10-14,juarez
294,camarero,89.7,licenciatura completa,2024-12-13,Ocotlan
295,pintor,51.9,primaria,2024-10-31,juarez
296,dentista,41.5,prof.univ.,2024-01-19,San Pablo Etla
297,dentista,52.4,lic.incompleta,2024-09-30,San Pablo Etla
298,mecanico,81.7,tecnico,2024-05-09,Salina Cruz
299,maestro de obra,75.5,secundaria,2024-01-11,Puerto Escondido
300,enfermero,90.9,prof.univ.,2024-05-29,Puerto Escondido
301,dentista,75.9,doctorado,2024-09-07,San Pablo Etla
302,carpintero,59.4,bachillerato,2024-07-21,Tututepec
303,ejecutivo de ventas,53.8,lic.incompleta,2024-03-22,Xoxocotlan
304,coordinador,64.1,lic.incompleta,2024-08-23,San Pablo Etla
305,coordinador,94.0,licenciatura completa,2024-06-19,juarez
306,mecanico,91.7,primaria,2024-12-28,Ocotlan
307,soldador,57.9,primaria,2024-06-14,Huajuapan
308,abogado,48.3,bachillerato,2024-07-02,Huatulco
309,contador,56.8,maestria,2024-05-18,San Juan
310,arquitecto,59.6,bachillerato,2024-10-10,Huajuapan
311,plomero,93.0,bachillerato,2024-11-28,Santa Catarina
312,contador,77.8,primaria,2024-08-09,Huatulco
313,investigador,40.3,licenciatura completa,2024-01-04,Xoxocotlan
314,mecanico,83.5,tecnico,2024-02-29,Tlacolula
315,camarero,46.7,tecnico,2024-01-30,Xoxocotlan
316,camarero,76.6,primaria,2024-10-01,juarez
317,plomero,64.3,maestria,2024-07-29,San Pablo Etla
318,plomero,70.9,especialidad,2024-07-25,Santa Catarina
319,diseñador grafico,88.5,prof.univ.,2024-02-22,Santiago
320,cocinero,67.5,primaria,2024-04-26,juarez
321,auditor,73.4,lic.incompleta,2024-05-08,Santiago
322,contador,83.3,maestria,2024-12-15,Xoxocotlan
323,maestro de obra,67.7,doctorado,2024-11-12,Santiago
324,tec. en electricidad,86.3,secundaria,2024-01-08,oaxaca capital
325,psicólogo,72.4,especialidad,2024-04-16,Puerto Escondido
326,psicólogo,57.9,doctorado,2024-01-12,Puerto Escondido
327,electricista,94.3,especialidad,2024-05-08,Huajuapan
328,programador,54.7,maestria,2024-11-02,Santa Catarina
329,psicólogo,79.0,primaria,2024-03-06,Tlacolula
330,plomero,43.5,licenciatura completa,2024-08-31,Crucecita
331,ingeniero de sistemas,82.6,especialidad,2024-01-01,Puerto Escondido
332,investigador,87.1,secundaria,2024-07-16,Puerto Escondido
333,técnico en telecomunicaciones,42.4,prof.univ.,2024-08-13,Huajuapan
334,asistente administrativo,84.5,prof.univ.,2024-03-04,Puerto Escondido
335,conductor,60.4,especialidad,2024-07-05,Ixtlan
336,abogado,89.8,bachillerato,2024-12-28,San Pablo Etla
337,consultor,46.6,tecnico,2024-07-04,Pochutla
338,carpintero,88.2,doctorado,2024-06-26,San Pablo Etla
339,transportista,81.9,doctorado,2024-12-11,Tututepec
340,arquitecto,87.4,licenciatura completa,2024-08-10,Santiago
341,ejecutivo de ventas,81.4,primaria,2024-05-21,oaxaca capital
342,pintor,50.4,especialidad,2024-11-13,Crucecita
343,dentista,90.0,especialidad,2024-07-20,Santa Catarina
344,psicólogo,77.1,licenciatura completa,2024-05-04,Ixtlan
345,chef,75.6,secundaria,2024-06-30,juarez
346,supervisor,88.2,maestria,2024-12-14,Salina Cruz
347,consultor,79.7,prof.univ.,2024-06-21,Ixtlan
348,enfermero,77.1,secundaria,2024-11-12,Xoxocotlan
349,consultor,70.9,secundaria,2024-01-01,San Pablo Etla
350,soldador,45.9,lic.incompleta,2024-10-10,Tututepec
351,electricista,50.3,secundaria,2024-12-24,San Pablo Etla
352,diseñador grafico,73.6,maestria,2024-03-06,Lachixio
353,enfermero,94.3,bachillerato,2024-02-02,Ixtlan
354,vendedor,64.6,doctorado,2024-09-28,Xoxocotlan
355,investigador,47.2,especialidad,2024-08-23,juarez
356,chef,42.1,especialidad,2024-06-17,Ocotlan
357,electricista,49.4,bachillerato,2024-11-29,Puerto Escondido
358,supervisor,50.6,tecnico,2024-09-23,Tututepec
359,técnico de mantenimiento,40.8,lic.incompleta,2024-11-05,Huajuapan
360,soldador,63.2,secundaria,2024-02-18,Huatulco
361,investigador,93.6,tecnico,2024-04-21,oaxaca capital
362,cocinero,69.3,especialidad,2024-06-18,Tututepec
363,técnico en telecomunicaciones,62.3,secundaria,2024-03-10,Xoxocotlan
364,técnico en electrónica,61.9,lic.incompleta,2024-01-08,Santa Catarina
365,profesor,61.5,doctorado,2024-02-24,Tututepec
366,técnico en telecomunicaciones,52.0,bachillerato,2024-12-03,San Pablo Etla
367,programador,93.8,prof.univ.,2024-05-27,Tlacolula
368,analista,75.8,maestria,2024-04-06,Crucecita
369,gerente,57.5,bachillerato,2024-07-10,Pochutla
370,diseñador grafico,52.0,lic.incompleta,2024-04-28,Ixtlan
371,maestro de obra,79.5,prof.univ.,2024-02-13,Lachixio
372,soldador,76.8,secundaria,2024-01-12,Puerto Escondido
373,auditor,79.6,bachillerato,2024-06-24,Santiago
374,consultor,70.7,tecnico,2024-02-14,Xoxocotlan
375,contador,71.3,lic.incompleta,2024-12-12,Huajuapan
376,ejecutivo de ventas,72.0,licenciatura completa,2024-06-02,Puerto Escondido
377,conductor,92.3,prof.univ.,2024-06-26,Lachixio
378,vendedor,70.8,bachillerato,2024-10-30,Pochutla
379,contador,95.0,lic.incompleta,2024-09-18,Etla
380,camarero,64.7,lic.incompleta,2024-06-10,Tututepec
381,capacitador,40.6,lic.incompleta,2024-08-22,San Juan
382,vendedor,75.6,especialidad,2024-03-19,Puerto Escondido
383,diseñador grafico,84.5,primaria,2024-06-24,Salina Cruz
384,representante comercial,88.1,tecnico,2024-03-20,Puerto Escondido
385,enfermero,41.4,tecnico,2024-05-04,Santiago
386,jardinero,76.9,licenciatura completa,2024-11-12,Etla
387,técnico en electrónica,63.1,licenciatura completa,2024-04-23,Tlacolula
388,enfermero,44.1,tecnico,2024-04-09,Santa Catarina
389,dentista,51.7,bachillerato,2024-01-01,Huatulco
390,gerente,55.7,lic.incompleta,2024-12-31,Santa Catarina
391,programador,67.2,lic.incompleta,2024-06-30,Tututepec
392,consultor,74.0,bachillerato,2024-08-09,Ocotlan
393,programador,85.3,especialidad,2024-04-10,Pochutla
394,arquitecto,41.4,maestria,2024-02-03,Salina Cruz
395,técnico de mantenimiento,69.6,tecnico,2024-09-29,Salina Cruz
396,diseñador grafico,65.5,maestria,2024-07-05,Lachixio
397,consultor,73.0,lic.incompleta,2024-04-07,Xoxocotlan
398,contador,71.4,tecnico,2024-10-13,San Pablo Etla
399,camarero,74.8,lic.incompleta,2024-08-09,Huajuapan
400,camarero,70.0,doctorado,2024-06-07,Xoxocotlan
401,ingeniero de sistemas,66.6,especialidad,2024-12-11,Macuiltianguis
402,tec. en electricidad,46.9,doctorado,2024-10-20,Puerto Escondido
403,técnico de mantenimiento,78.1,secundaria,2024-07-03,Puerto Escondido
404,diseñador grafico,72.7,primaria,2024-04-16,Tututepec
405,jardinero,47.4,especialidad,2024-03-23,juarez
406,conductor,69.6,primaria,2024-03-06,Salina Cruz
407,contador,89.3,doctorado,2024-09-28,San Juan
408,técnico en electrónica,89.3,maestria,2024-01-05,Crucecita
409,programador,92.4,prof.univ.,2024-11-29,juarez
410,docente,76.1,licenciatura completa,2024-02-24,Tututepec
411,mecanico,84.1,licenciatura completa,2024-05-27,San Pablo Etla
412,tec. en electricidad,54.0,especialidad,2024-09-17,Ixtlan
413,carpintero,78.4,bachillerato,2024-11-26,Huatulco
414,carpintero,91.8,licenciatura completa,2024-08-03,Puerto Escondido
415,capacitador,61.3,primaria,2024-03-16,Ixtlan
416,consultor,67.9,licenciatura completa,2024-04-22,Etla
417,auditor,45.5,prof.univ.,2024-09-11,San Juan
418,contador,87.8,licenciatura completa,2024-01-07,juarez
419,docente,85.0,especialidad,2024-08-02,Ixtlan
420,tec. en electricidad,67.6,secundaria,2024-01-24,juarez
421,docente,92.2,lic.incompleta,2024-06-05,San Pablo Etla
422,plomero,73.2,licenciatura completa,2024-03-22,Huajuapan
423,auditor,59.2,doctorado,2024-07-24,Ocotlan
424,tec. en electricidad,84.2,bachillerato,2024-11-06,San Juan
425,economista,77.7,prof.univ.,2024-02-05,Santa Catarina
426,conductor,52.3,tecnico,2024-07-22,Puerto Escondido
427,carpintero,87.0,especialidad,2024-10-12,Puerto Escondido
428,soldador,82.7,licenciatura completa,2024-10-03,juarez
429,guardia de seguridad,59.6,especialidad,2024-02-08,Pochutla
430,soldador,84.7,licenciatura completa,2024-02-04,Xoxocotlan
431,ingeniero de sistemas,44.6,lic.incompleta,2024-11-19,Huajuapan
432,abogado,73.8,lic.incompleta,2024-01-25,Huatulco
433,consultor,62.0,doctorado,2024-12-13,Ocotlan
434,analista,74.4,secundaria,2024-09-01,Crucecita
435,plomero,84.1,especialidad,2024-01-26,Lachixio
436,tec. en electricidad,73.1,bachillerato,2024-04-12,Macuiltianguis
437,electricista,50.3,prof.univ.,2024-07-30,Tlacolula
438,analista,53.4,primaria,2024-07-14,juarez
439,plomero,92.6,primaria,2024-07-28,oaxaca capital
440,conductor,49.4,tecnico,2024-05-06,Santa Catarina
441,enfermero,87.9,doctorado,2024-10-29,Crucecita
442,coordinador,80.5,primaria,2024-02-13,Pochutla
443,docente,91.0,lic.incompleta,2024-09-25,Puerto Escondido
444,académico,69.6,primaria,2024-02-11,Huatulco
445,académico,50.1,tecnico,2024-01-20,Huatulco
446,coordinador,80.9,primaria,2024-01-22,Tututepec
