id,fecha_registro,sector_laboral,salario_promedio_mensual,empleabilidad,municipio,observaciones
41,2025-03-18,Manufactura,12100.00,medio,Oaxaca de Juárez,artesanías industrializadas
42,2025-01-12,Manufactura,9700.50,bajo,Etla,maquila de bajo valor agregado
43,2025-02-08,Transportes,16600.00,alto,Oaxaca de Juárez,logística y cadena de suministro
44,2025-03-20,Transportes,12200.25,medio,Puerto Escondido,transporte turístico costero
45,2025-01-30,Transportes,10400.00,bajo,Tlacolula de Matamoros,rutas locales congestionadas
46,2025-02-15,Gastronomía,14300.75,alto,Puerto Escondido,gastronomía gourmet costera
47,2025-03-10,Gastronomía,11600.00,medio,Oaxaca de Juárez,restaurantes formales zona centro
48,2025-01-20,Gastronomía,9100.50,bajo,Miahuatlán de Porfirio Díaz,fondas y comedores informales
49,2025-02-22,Comercio,13900.00,alto,Oaxaca de Juárez,comercio electrónico en crecimiento
50,2025-03-14,Comercio,11100.25,medio,Tehuantepec,mercado regional consolidado
51,2025-01-16,Comercio,9000.50,bajo,Lachixio,comercio informal predominante
52,2025-03-02,Ingeniería,22800.00,alto,Oaxaca de Juárez,proyectos de energía renovable
53,2025-01-22,Ingeniería,19500.50,alto,Xoxocotlán,manufactura industrial avanzada
54,2025-02-18,Ingeniería,15700.00,medio,Huajuapan de León,ingeniería civil regional
55,2025-03-25,Ingeniería,13100.25,bajo,Miahuatlán de Porfirio Díaz,escasa demanda en zona sur
56,2025-02-28,Administración,16800.00,alto,Oaxaca de Juárez,gestión corporativa y consultoría
57,2025-03-16,Administración,13700.50,medio,Tehuantepec,administración de pymes locales
58,2025-01-14,Administración,11100.00,bajo,Lachixio,mercado local con poca demanda
59,2025-03-08,Medio Ambiente,18400.00,alto,Oaxaca de Juárez,consultoría ambiental gubernamental
60,2025-02-05,Medio Ambiente,15400.75,medio,Puerto Escondido,gestión ecoturística costera
61,2025-01-25,Medio Ambiente,12200.00,bajo,Miahuatlán de Porfirio Díaz,mercado incipiente zona sur
62,2025-01-02,Salud,17200.00,alto,Etla,centro de salud regional en expansión
63,2025-01-15,Turismo,13400.00,alto,Lachixio,ecoturismo sierra sur emergente
64,2025-01-20,Educación,14800.00,alto,Tehuantepec,universidad tecnológica del istmo
65,2025-02-03,Administración,15100.00,alto,Miahuatlán de Porfirio Díaz,crecimiento de pymes formales
66,2025-03-03,Ingeniería,20500.00,alto,Ixtlán de Juárez,ingeniería forestal certificada
67,2025-03-06,Tecnología,23500.00,alto,Oaxaca de Juárez,arquitectos cloud muy solicitados
68,2025-03-09,Tecnología,19200.00,alto,Tehuantepec,tecnología para agroindustria istmo
69,2025-03-12,Tecnología,21000.00,alto,Xoxocotlán,parque tecnológico zona norte
70,2025-03-17,Tecnología,17300.00,medio,Tlacolula de Matamoros,soporte técnico regional mixto
71,2025-03-22,Tecnología,16200.00,medio,Puerto Escondido,desarrollo web sector turístico
72,2025-01-08,Tecnología,12500.00,bajo,Etla,pymes tecnológicas con baja demanda
73,2025-02-14,Tecnología,18800.00,medio,Huajuapan de León,sistemas de información regionales
74,2025-03-28,Tecnología,11800.00,bajo,Miahuatlán de Porfirio Díaz,mercado tecnológico incipiente
